age,job,marital,education,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
57,management,married,tertiary,320,no,no,cellular,7,aug,76,2,-1,0,unknown,no
38,management,divorced,tertiary,10638,no,no,unknown,12,jun,159,2,-1,0,unknown,no
44,services,divorced,secondary,608,yes,yes,unknown,18,jun,19,30,-1,0,unknown,no
44,technician,divorced,unknown,1823,no,no,unknown,20,jun,43,2,-1,0,unknown,no
38,admin.,divorced,secondary,1314,no,no,cellular,29,aug,156,2,-1,0,unknown,no
33,management,married,tertiary,289,no,no,cellular,23,sep,333,1,-1,0,unknown,no
47,housemaid,single,tertiary,3727,no,no,unknown,12,jun,993,6,-1,0,unknown,yes
35,blue-collar,married,secondary,-281,yes,no,unknown,16,jun,15,15,-1,0,unknown,no
36,technician,single,secondary,103,yes,no,cellular,5,may,122,2,344,2,failure,no
43,technician,married,secondary,-313,no,yes,cellular,7,jul,89,4,-1,0,unknown,no
47,entrepreneur,divorced,tertiary,178,no,no,cellular,4,feb,291,1,-1,0,unknown,no
36,technician,single,secondary,-272,no,yes,cellular,4,jul,53,6,-1,0,unknown,no
35,management,single,tertiary,7918,no,no,cellular,7,sep,497,1,-1,0,unknown,yes
31,technician,married,tertiary,-502,yes,yes,unknown,26,may,523,2,-1,0,unknown,no
42,services,married,secondary,-1,yes,no,cellular,8,jul,38,2,-1,0,unknown,no
22,student,single,secondary,381,no,no,cellular,12,feb,227,1,-1,0,unknown,yes
51,admin.,married,secondary,194,no,yes,cellular,22,jul,71,2,-1,0,unknown,no
56,self-employed,married,tertiary,871,yes,no,unknown,14,may,381,1,-1,0,unknown,no
56,services,single,secondary,1222,yes,yes,cellular,17,apr,754,1,-1,0,unknown,no
37,admin.,married,secondary,1314,yes,no,cellular,12,feb,118,4,210,3,failure,yes
59,retired,married,primary,0,no,no,cellular,19,aug,288,2,-1,0,unknown,no
48,management,divorced,tertiary,1010,yes,no,cellular,20,aug,65,1,-1,0,unknown,no
37,blue-collar,married,primary,623,no,no,cellular,26,mar,267,2,-1,0,unknown,no
63,blue-collar,married,secondary,180,no,no,cellular,15,jul,390,2,182,5,success,yes
52,management,married,tertiary,1065,yes,yes,cellular,21,nov,224,2,175,1,failure,no
38,entrepreneur,married,secondary,680,yes,no,unknown,19,may,144,2,-1,0,unknown,no
53,management,married,tertiary,618,no,no,cellular,11,aug,73,2,-1,0,unknown,no
